epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3274,3.54557,10.5859,4.25251,0,0,0,0,3.4844,4.1204,3.71009,0.000297059,0.000297059,0.000297059
2,27.1491,3.10701,12.2928,3.82484,0,0,0,0,3.05449,5.73886,3.45411,0.000596098,0.000596098,0.000596098
3,39.061,2.5998,7.98447,3.32567,0.85795,0.06706,0.00057,0.00013,3.5443,inf,18.3468,0.000891138,0.000891138,0.000891138
4,50.7783,2.36097,5.38089,2.94153,0.14955,0.14286,0.00835,0.00285,3.18603,inf,4.0167,0.000891002,0.000891002,0.000891002
5,62.6425,2.27223,3.74734,2.74201,0.04555,0.07872,0.0554,0.02614,2.99095,34.9962,3.12734,0.000885002,0.000885002,0.000885002
6,74.5333,2.18063,3.71582,2.61023,0.19358,0.10496,0.05763,0.03145,2.51853,17.826,2.40216,0.000879003,0.000879003,0.000879003
7,86.1904,2.07534,2.59782,2.58741,0.07964,0.11079,0.094,0.03794,2.80399,5.27553,2.43069,0.000873004,0.000873004,0.000873004
8,97.6372,1.91846,2.43698,2.40141,0.10616,0.10965,0.116,0.06909,2.96124,2.61012,2.49499,0.000867004,0.000867004,0.000867004
9,109.347,2.04852,2.6447,2.40594,0.08737,0.1056,0.10644,0.05234,2.91976,2.83638,2.55089,0.000861005,0.000861005,0.000861005
10,120.992,1.88286,2.27628,2.28316,0.06075,0.07767,0.06424,0.03786,2.95293,2.9519,2.44042,0.000855005,0.000855005,0.000855005
11,132.31,1.80031,2.29561,2.19725,0.11087,0.11953,0.12036,0.07788,2.85484,3.08317,2.37332,0.000849006,0.000849006,0.000849006
12,143.98,1.85291,2.09376,2.22813,0.11047,0.11953,0.12792,0.09133,2.61588,2.6547,2.22163,0.000843007,0.000843007,0.000843007
13,155.599,1.80766,2.00225,2.21133,0.1115,0.12536,0.12708,0.0939,3.02976,2.9916,2.3958,0.000837007,0.000837007,0.000837007
14,167.125,1.82843,2.27495,2.18081,0.11271,0.10901,0.12212,0.09104,2.87825,2.8172,2.32406,0.000831008,0.000831008,0.000831008
15,178.598,1.94312,2.12465,2.20945,0.10886,0.12139,0.12004,0.09122,3.31857,4.62314,2.56384,0.000825008,0.000825008,0.000825008
16,189.951,1.92123,2.14255,2.15354,0.25152,0.12047,0.12692,0.08736,3.77225,3.54276,2.68384,0.000819009,0.000819009,0.000819009
17,201.317,1.8618,1.93219,2.08646,0.24517,0.12828,0.12586,0.09097,3.83527,3.32964,2.50525,0.00081301,0.00081301,0.00081301
18,212.741,2.40755,2.40088,2.11897,0.10714,0.1312,0.1293,0.09304,3.47198,3.6256,2.23857,0.00080701,0.00080701,0.00080701
19,224.469,2.50671,2.76592,1.9872,0.1085,0.11953,0.12623,0.09959,3.00971,3.29026,1.85861,0.000801011,0.000801011,0.000801011
20,236.092,2.72532,3.15611,1.86572,0.12149,0.10496,0.12627,0.09143,2.72643,3.23214,1.79629,0.000795011,0.000795011,0.000795011
21,247.563,2.82385,3.26749,1.79781,0.09559,0.12828,0.1198,0.09161,2.79791,3.32319,1.74893,0.000789012,0.000789012,0.000789012
22,258.901,2.78789,3.24521,1.76231,0.11855,0.11953,0.13017,0.10088,2.92199,3.3547,1.80617,0.000783013,0.000783013,0.000783013
23,270.531,2.77195,3.23158,1.72494,0.24137,0.12245,0.12462,0.09242,2.81062,3.02691,1.73186,0.000777013,0.000777013,0.000777013
24,281.833,2.93796,3.4982,1.71952,0.24521,0.13411,0.13045,0.10402,2.71736,3.38914,1.7308,0.000771014,0.000771014,0.000771014
25,293.315,2.83085,3.34947,1.69575,0.26187,0.11662,0.13018,0.10088,2.78023,3.22697,1.68522,0.000765014,0.000765014,0.000765014
26,304.595,2.70003,3.16944,1.65657,0.26604,0.11662,0.13471,0.10178,2.68245,3.16187,1.65604,0.000759015,0.000759015,0.000759015
27,316.498,2.68346,3.18393,1.63389,0.55467,0.12828,0.13819,0.09921,2.75434,3.0889,1.6949,0.000753016,0.000753016,0.000753016
28,327.974,2.68008,3.16827,1.66283,0.69745,0.13094,0.13775,0.09198,2.81691,2.90228,1.75291,0.000747016,0.000747016,0.000747016
29,339.483,2.67681,3.1694,1.59255,0.68907,0.1312,0.15539,0.10898,2.62569,2.8486,1.5881,0.000741017,0.000741017,0.000741017
30,351.231,2.66282,3.10909,1.5674,0.68116,0.13521,0.18428,0.12647,2.43862,2.75837,1.51691,0.000735017,0.000735017,0.000735017
31,362.958,2.41451,2.73459,1.54746,0.64334,0.20797,0.226,0.14103,2.40425,2.55598,1.51483,0.000729018,0.000729018,0.000729018
32,374.728,2.40818,2.68412,1.48319,0.9385,0.20325,0.24239,0.14674,2.26836,2.32046,1.42819,0.000723019,0.000723019,0.000723019
33,386.415,2.4963,2.69461,1.45598,0.93293,0.23454,0.2577,0.14996,2.2618,2.25292,1.42771,0.000717019,0.000717019,0.000717019
34,398.375,2.38425,2.54636,1.45983,0.93584,0.25574,0.29046,0.16869,2.19364,2.17917,1.38679,0.00071102,0.00071102,0.00071102
35,410.32,2.39647,2.52783,1.42669,0.9201,0.26142,0.31635,0.17689,2.09584,2.15872,1.36877,0.00070502,0.00070502,0.00070502
36,421.972,2.25678,2.2979,1.39886,0.40627,0.31517,0.30282,0.16958,2.12115,1.94625,1.36611,0.000699021,0.000699021,0.000699021
37,433.476,2.27336,2.20809,1.37966,0.42486,0.38787,0.34003,0.1851,2.04727,1.86826,1.33421,0.000693022,0.000693022,0.000693022
38,445.114,2.21209,2.10812,1.33106,0.4164,0.45571,0.43897,0.21766,1.93963,1.63722,1.32459,0.000687022,0.000687022,0.000687022
39,456.773,2.19064,2.05317,1.31848,0.49729,0.4758,0.44546,0.22567,1.89921,1.63482,1.28884,0.000681023,0.000681023,0.000681023
40,468.425,2.05059,1.81888,1.3226,0.45697,0.54304,0.49431,0.24496,1.87428,1.52948,1.29601,0.000675023,0.000675023,0.000675023
41,480.149,2.1271,1.86684,1.32904,0.52065,0.57887,0.52904,0.25534,1.84239,1.4275,1.28178,0.000669024,0.000669024,0.000669024
42,492.007,2.1689,1.86309,1.28386,0.53847,0.55728,0.52626,0.25362,1.88177,1.41322,1.29246,0.000663025,0.000663025,0.000663025
43,503.852,1.99353,1.7269,1.26828,0.55142,0.59638,0.56433,0.27139,1.78939,1.45604,1.27279,0.000657025,0.000657025,0.000657025
44,515.605,1.99287,1.66404,1.24793,0.61582,0.63322,0.61785,0.30915,1.70455,1.28403,1.23328,0.000651026,0.000651026,0.000651026
45,527.313,2.02102,1.63175,1.2498,0.60751,0.62983,0.61478,0.28731,1.7846,1.31437,1.24381,0.000645026,0.000645026,0.000645026
46,538.844,2.01177,1.58303,1.24443,0.63512,0.6926,0.68607,0.33626,1.71989,1.26265,1.22472,0.000639027,0.000639027,0.000639027
47,550.602,1.9519,1.52504,1.20749,0.70138,0.69482,0.71497,0.33517,1.70279,1.19597,1.21783,0.000633028,0.000633028,0.000633028
48,562.313,1.96503,1.47927,1.21087,0.63627,0.66085,0.67766,0.32957,1.72056,1.18994,1.23034,0.000627028,0.000627028,0.000627028
49,573.858,1.89975,1.4385,1.19023,0.6759,0.63555,0.64853,0.30108,1.78373,1.17566,1.25624,0.000621029,0.000621029,0.000621029
50,585.346,1.93406,1.43698,1.19986,0.746,0.75082,0.78781,0.39075,1.61816,1.07525,1.20009,0.000615029,0.000615029,0.000615029
51,597.266,1.89017,1.38026,1.20276,0.78979,0.74191,0.81342,0.38891,1.65711,1.06505,1.20073,0.00060903,0.00060903,0.00060903
52,608.969,1.90115,1.32049,1.19504,0.83453,0.71203,0.7973,0.39859,1.5922,1.05854,1.18274,0.000603031,0.000603031,0.000603031
53,620.686,1.83171,1.31157,1.19275,0.78951,0.78375,0.81644,0.40626,1.62649,1.00709,1.18797,0.000597031,0.000597031,0.000597031
54,632.355,1.87871,1.29427,1.15779,0.79401,0.78355,0.84122,0.44426,1.57533,0.98111,1.17931,0.000591032,0.000591032,0.000591032
55,644.053,1.80155,1.25694,1.16552,0.83091,0.75175,0.83168,0.41886,1.63339,1.00523,1.21148,0.000585032,0.000585032,0.000585032
56,655.545,1.84801,1.24847,1.17113,0.88515,0.78698,0.87804,0.44888,1.56081,0.9309,1.16694,0.000579033,0.000579033,0.000579033
57,667.206,1.81241,1.23179,1.17554,0.86441,0.7647,0.85464,0.42908,1.60753,1.03427,1.19769,0.000573034,0.000573034,0.000573034
58,678.62,1.79015,1.22066,1.17506,0.85689,0.82125,0.8817,0.45382,1.54919,0.93939,1.18377,0.000567034,0.000567034,0.000567034
59,690.462,1.82259,1.21654,1.15946,0.85066,0.85047,0.89141,0.45695,1.5451,0.93486,1.18139,0.000561035,0.000561035,0.000561035
60,702.062,1.79631,1.20178,1.15092,0.86402,0.84277,0.88262,0.4401,1.59865,0.91338,1.17724,0.000555035,0.000555035,0.000555035
61,713.512,1.78185,1.17909,1.16941,0.83288,0.81118,0.88894,0.44869,1.54359,0.93871,1.1459,0.000549036,0.000549036,0.000549036
62,724.824,1.75463,1.12844,1.14693,0.89079,0.82989,0.90142,0.47929,1.51741,0.86766,1.15119,0.000543037,0.000543037,0.000543037
63,736.408,1.71867,1.09621,1.14109,0.91188,0.82735,0.89969,0.45187,1.55552,0.87919,1.14961,0.000537037,0.000537037,0.000537037
64,747.866,1.71801,1.07174,1.14541,0.91397,0.85769,0.91204,0.46713,1.50638,0.84537,1.13682,0.000531038,0.000531038,0.000531038
65,759.23,1.6907,1.07521,1.15094,0.92385,0.83179,0.90704,0.48886,1.47787,0.87995,1.13434,0.000525038,0.000525038,0.000525038
66,770.843,1.72274,1.06678,1.14114,0.91376,0.86018,0.91935,0.48032,1.48649,0.88518,1.1303,0.000519039,0.000519039,0.000519039
67,782.395,1.68572,1.04908,1.12096,0.89149,0.88666,0.92571,0.49193,1.53091,0.83349,1.16502,0.00051304,0.00051304,0.00051304
68,794.052,1.69128,1.04724,1.12467,0.88791,0.79808,0.87009,0.39302,1.68911,0.90024,1.21938,0.00050704,0.00050704,0.00050704
69,805.438,1.72585,1.05211,1.14484,0.93272,0.8472,0.91805,0.4873,1.49325,0.85051,1.14891,0.000501041,0.000501041,0.000501041
70,816.933,1.6976,1.02158,1.12877,0.92949,0.8804,0.92115,0.47844,1.54461,0.82235,1.18169,0.000495041,0.000495041,0.000495041
71,828.483,1.67657,1.02369,1.12311,0.93054,0.87495,0.93455,0.50695,1.45901,0.81472,1.11461,0.000489042,0.000489042,0.000489042
72,840.112,1.6771,1.00317,1.12748,0.88809,0.87247,0.92855,0.47658,1.5209,0.83731,1.13863,0.000483043,0.000483043,0.000483043
73,851.506,1.68751,1.00796,1.10769,0.91698,0.88726,0.9293,0.47458,1.56885,0.8244,1.15176,0.000477043,0.000477043,0.000477043
74,862.932,1.66686,0.99211,1.12789,0.90024,0.90238,0.93341,0.50357,1.48087,0.8171,1.15369,0.000471044,0.000471044,0.000471044
75,874.664,1.66834,0.98234,1.1171,0.91079,0.87934,0.93508,0.52798,1.43115,0.79222,1.12341,0.000465044,0.000465044,0.000465044
76,886.317,1.67968,0.99295,1.11131,0.88824,0.87735,0.92097,0.45855,1.57417,0.83098,1.15804,0.000459045,0.000459045,0.000459045
77,897.805,1.61454,0.94341,1.09496,0.94195,0.88775,0.93964,0.53761,1.40662,0.76134,1.09903,0.000453046,0.000453046,0.000453046
78,909.472,1.60696,0.95332,1.11388,0.93456,0.89822,0.9431,0.50866,1.45239,0.77439,1.12669,0.000447046,0.000447046,0.000447046
79,920.944,1.62441,0.94267,1.10126,0.95631,0.87979,0.93616,0.49276,1.49639,0.79354,1.12747,0.000441047,0.000441047,0.000441047
80,932.404,1.63492,0.93774,1.0996,0.91447,0.90886,0.95007,0.53714,1.40157,0.75823,1.09962,0.000435047,0.000435047,0.000435047
81,944.042,1.61958,0.93766,1.11308,0.89864,0.89734,0.94104,0.51798,1.44111,0.81655,1.14909,0.000429048,0.000429048,0.000429048
82,955.578,1.62294,0.94385,1.11328,0.94114,0.90693,0.94743,0.53208,1.41981,0.75859,1.12762,0.000423049,0.000423049,0.000423049
83,967.337,1.62611,0.91939,1.1009,0.9505,0.89225,0.94946,0.52853,1.4423,0.78606,1.11883,0.000417049,0.000417049,0.000417049
84,978.865,1.60536,0.92246,1.10689,0.94085,0.91157,0.95043,0.50841,1.5028,0.77991,1.15467,0.00041105,0.00041105,0.00041105
85,990.37,1.57052,0.89503,1.07904,0.96151,0.90382,0.95541,0.55422,1.39448,0.74086,1.08198,0.00040505,0.00040505,0.00040505
86,1001.97,1.58707,0.90405,1.08525,0.95675,0.91146,0.95563,0.53862,1.40414,0.75587,1.0888,0.000399051,0.000399051,0.000399051
